Edad,Género,Obesidad,Ingresos familiares promedio,Tamaño de la familia,Título educativo del padre,Título educativo de la madre,Estado civil de los padres,Horas de estudio,Estado residencial,Tipo de familia,Número de niños que viven juntos en casa,Educación de género,Categoría de escuelas,Número promedio de días de ausencia,Distancia entre el hogar y la escuela,Número promedio de días de retraso,Modo de desplazamiento a la escuela,Rendimiento académico previo,Estrés,Actividad física,Ingesta de alimentos,Consumo de tabaco,Consumo de alcohol por semana,Tipo de comportamiento,Pensamiento positivo u optimista,Sentirse tenso o incómodo,Sentirse triste o deprimido,Rendimiento académico
adolescencia temprana,masculino,no,clase baja,grande,sin educación,posgrado,casado,4.1,con padres,conjunto,6,unisexo,privado,3,3–5 km,dos veces a la semana,a pie,moderado,mayor,regular,ocasional,ocasional,nunca,bastante a menudo,casi siempre,casi siempre,bastante a menudo,moderado
adolescencia tardía,femenino,no,clase media-baja,grande,licenciatura,secundaria,viudo,0.2,con padres,nuclear,3,mixto,privado,4,3–5 km,casi todos los días,a pie,bajo,mayor,nunca,nunca,regular,regular,casi siempre,rara vez,bastante a menudo,bastante a menudo,bajo
adolescencia tardía,femenino,sí,clase media-alta,mediano,licenciatura,primaria,casado,1.8,albergue,conjunto,4,mixto,público,2,menos de 1 km,casi todos los días,transporte público,alto,leve,ocasional,nunca,regular,nunca,bastante a menudo,casi siempre,bastante a menudo,casi nunca,bajo
adolescencia media,femenino,sí,clase media-baja,pequeño,secundaria,secundaria,casado,0.6,con padres,conjunto,2,mixto,privado,0,1–3 km,dos veces a la semana,transporte privado,moderado,grave,regular,regular,ocasional,regular,casi siempre,bastante a menudo,rara vez,casi nunca,bajo
adolescencia media,masculino,sí,clase media-alta,grande,secundaria,preparatoria,soltero,5.2,con padres,conjunto,2,unisexo,privado,4,3–5 km,dos veces a la semana,a pie,alto,moderado,ocasional,ocasional,nunca,regular,bastante a menudo,a veces,rara vez,casi nunca,moderado
adolescencia media,masculino,no,alta,grande,primaria,posgrado,soltero,2.8,con padres,conjunto,4,unisexo,público,5,1–3 km,casi todos los días,transporte privado,bajo,muy poco estrés,ocasional,ocasional,nunca,regular,casi siempre,casi siempre,casi siempre,casi siempre,bajo
adolescencia media,femenino,sí,clase baja,grande,sin educación,licenciatura,casado,1.5,con familiares,nuclear,3,unisexo,privado,2,más de 5 km,una vez a la semana,a pie,moderado,grave,nunca,regular,ocasional,nunca,casi nunca,bastante a menudo,casi nunca,rara vez,bajo
adolescencia media,masculino,sí,clase baja,grande,sin educación,secundaria,divorciado,0.0,con padres,conjunto,2,mixto,privado,5,más de 5 km,una vez a la semana,transporte privado,moderado,mayor,regular,nunca,ocasional,regular,algunas veces,a veces,bastante a menudo,casi nunca,bajo
adolescencia tardía,femenino,no,alta,grande,licenciatura,primaria,soltero,2.0,albergue,conjunto,3,mixto,privado,2,1–3 km,casi todos los días,transporte privado,bajo,mayor,ocasional,nunca,nunca,ocasional,casi siempre,rara vez,algunas veces,casi siempre,bajo
adolescencia media,femenino,sí,clase media-alta,grande,licenciatura,posgrado,viudo,2.4,albergue,nuclear,3,unisexo,público,5,más de 5 km,casi todos los días,a pie,moderado,grave,nunca,regular,regular,ocasional,casi nunca,casi nunca,casi nunca,rara vez,bajo
adolescencia tardía,masculino,no,alta,grande,posgrado,secundaria,soltero,0.0,albergue,nuclear,1,mixto,público,3,3–5 km,dos veces a la semana,a pie,moderado,mayor,nunca,regular,regular,nunca,casi siempre,bastante a menudo,algunas veces,casi nunca,bajo
otros,masculino,no,alta,mediano,preparatoria,secundaria,viudo,4.7,con familiares,conjunto,5,mixto,público,2,3–5 km,dos veces a la semana,transporte privado,moderado,muy poco estrés,ocasional,regular,nunca,ocasional,casi nunca,rara vez,casi nunca,rara vez,moderado
adolescencia temprana,femenino,no,clase media-baja,grande,primaria,sin educación,soltero,3.7,con familiares,conjunto,6,mixto,privado,4,menos de 1 km,una vez a la semana,transporte público,alto,muy poco estrés,nunca,nunca,regular,ocasional,rara vez,bastante a menudo,algunas veces,bastante a menudo,moderado
otros,femenino,sí,alta,grande,licenciatura,secundaria,separado,2.2,albergue,nuclear,4,mixto,privado,1,menos de 1 km,dos veces a la semana,transporte público,alto,muy poco estrés,nunca,regular,regular,nunca,casi nunca,rara vez,rara vez,rara vez,bajo
otros,femenino,sí,alta,pequeño,sin educación,preparatoria,separado,3.1,con familiares,conjunto,4,mixto,público,4,3–5 km,nunca,a pie,alto,leve,nunca,ocasional,regular,ocasional,casi siempre,casi nunca,casi nunca,casi siempre,moderado
otros,masculino,no,clase media-baja,mediano,sin educación,posgrado,viudo,4.7,albergue,conjunto,4,mixto,público,4,menos de 1 km,casi todos los días,transporte privado,moderado,grave,nunca,ocasional,regular,ocasional,algunas veces,casi nunca,algunas veces,rara vez,moderado
otros,femenino,no,clase media-alta,mediano,sin educación,posgrado,casado,4.6,albergue,nuclear,4,unisexo,privado,4,3–5 km,dos veces a la semana,transporte público,bajo,grave,regular,nunca,nunca,regular,casi siempre,casi siempre,casi nunca,bastante a menudo,bajo
adolescencia temprana,femenino,sí,clase media-baja,grande,licenciatura,preparatoria,viudo,2.2,con familiares,nuclear,5,unisexo,público,4,3–5 km,casi todos los días,transporte privado,alto,grave,nunca,ocasional,nunca,regular,casi siempre,casi siempre,casi nunca,casi siempre,bajo
adolescencia tardía,masculino,no,alta,mediano,preparatoria,primaria,soltero,4.4,con padres,conjunto,3,mixto,privado,3,menos de 1 km,dos veces a la semana,transporte privado,moderado,moderado,regular,regular,regular,nunca,casi siempre,bastante a menudo,casi siempre,bastante a menudo,moderado
adolescencia media,masculino,sí,alta,grande,preparatoria,sin educación,viudo,4.4,con familiares,conjunto,3,unisexo,público,1,1–3 km,nunca,a pie,bajo,mayor,nunca,ocasional,nunca,nunca,casi siempre,casi nunca,algunas veces,rara vez,bajo
adolescencia temprana,masculino,no,alta,pequeño,primaria,secundaria,viudo,2.5,con padres,nuclear,6,unisexo,público,2,menos de 1 km,una vez a la semana,transporte público,bajo,muy poco estrés,regular,ocasional,nunca,nunca,casi siempre,casi nunca,rara vez,casi siempre,bajo
adolescencia temprana,femenino,no,clase media-baja,grande,posgrado,sin educación,soltero,3.0,con familiares,conjunto,3,unisexo,público,2,1–3 km,nunca,transporte público,bajo,grave,regular,regular,ocasional,nunca,rara vez,bastante a menudo,casi siempre,rara vez,bajo
adolescencia temprana,femenino,no,clase media-baja,grande,primaria,posgrado,casado,1.0,con familiares,nuclear,1,mixto,privado,3,menos de 1 km,casi todos los días,transporte privado,alto,grave,nunca,nunca,ocasional,regular,bastante a menudo,rara vez,casi nunca,bastante a menudo,bajo
otros,femenino,no,clase baja,pequeño,preparatoria,licenciatura,soltero,4.4,con familiares,conjunto,3,mixto,privado,5,3–5 km,casi todos los días,transporte público,alto,leve,ocasional,nunca,ocasional,nunca,algunas veces,bastante a menudo,bastante a menudo,casi siempre,moderado
adolescencia media,masculino,sí,clase media-alta,pequeño,preparatoria,primaria,separado,4.7,con familiares,nuclear,5,mixto,público,2,3–5 km,casi todos los días,transporte privado,moderado,mayor,ocasional,ocasional,regular,regular,rara vez,rara vez,bastante a menudo,casi siempre,moderado
adolescencia tardía,femenino,no,clase media-alta,pequeño,secundaria,primaria,soltero,2.2,con familiares,nuclear,6,unisexo,privado,3,3–5 km,una vez a la semana,a pie,moderado,muy poco estrés,regular,ocasional,nunca,ocasional,casi siempre,rara vez,rara vez,bastante a menudo,bajo
adolescencia tardía,femenino,sí,clase media-alta,pequeño,preparatoria,preparatoria,soltero,2.6,con familiares,conjunto,3,mixto,público,0,3–5 km,dos veces a la semana,a pie,moderado,mayor,nunca,regular,nunca,nunca,rara vez,rara vez,casi siempre,bastante a menudo,moderado
adolescencia temprana,femenino,sí,clase media-alta,mediano,secundaria,secundaria,separado,1.6,albergue,conjunto,5,mixto,público,4,1–3 km,casi todos los días,transporte privado,moderado,moderado,ocasional,regular,nunca,ocasional,bastante a menudo,casi siempre,bastante a menudo,casi nunca,bajo
adolescencia tardía,masculino,no,clase baja,mediano,posgrado,sin educación,separado,2.8,con familiares,conjunto,4,unisexo,privado,8,más de 5 km,nunca,transporte público,bajo,grave,nunca,nunca,nunca,nunca,bastante a menudo,bastante a menudo,casi nunca,casi siempre,bajo
adolescencia media,femenino,no,clase media-alta,grande,preparatoria,sin educación,separado,4.5,albergue,nuclear,2,unisexo,privado,6,menos de 1 km,casi todos los días,transporte público,moderado,leve,nunca,ocasional,nunca,regular,bastante a menudo,rara vez,bastante a menudo,casi nunca,moderado
adolescencia temprana,femenino,sí,clase baja,mediano,posgrado,posgrado,viudo,3.1,albergue,nuclear,1,unisexo,público,2,3–5 km,casi todos los días,a pie,bajo,muy poco estrés,regular,ocasional,ocasional,regular,casi siempre,casi nunca,rara vez,casi siempre,bajo
otros,masculino,sí,alta,grande,sin educación,primaria,soltero,4.1,con familiares,conjunto,2,unisexo,público,2,1–3 km,casi todos los días,transporte público,moderado,muy poco estrés,ocasional,regular,ocasional,regular,bastante a menudo,rara vez,algunas veces,rara vez,moderado
otros,masculino,no,clase media-baja,mediano,secundaria,secundaria,viudo,3.6,con familiares,conjunto,4,mixto,público,4,3–5 km,casi todos los días,transporte privado,alto,muy poco estrés,ocasional,nunca,nunca,nunca,casi nunca,bastante a menudo,algunas veces,algunas veces,moderado
adolescencia temprana,femenino,sí,clase media-baja,grande,sin educación,secundaria,soltero,1.4,con familiares,nuclear,4,mixto,privado,3,más de 5 km,casi todos los días,transporte privado,bajo,leve,nunca,regular,nunca,ocasional,algunas veces,bastante a menudo,rara vez,rara vez,bajo
adolescencia media,masculino,no,clase baja,grande,preparatoria,posgrado,divorciado,2.0,con familiares,conjunto,4,mixto,privado,2,menos de 1 km,casi todos los días,a pie,bajo,leve,ocasional,nunca,ocasional,ocasional,rara vez,bastante a menudo,casi siempre,algunas veces,bajo
otros,masculino,no,clase baja,mediano,preparatoria,posgrado,soltero,3.1,con padres,nuclear,4,mixto,público,5,3–5 km,una vez a la semana,a pie,alto,grave,regular,ocasional,nunca,ocasional,casi siempre,casi nunca,casi siempre,rara vez,moderado
otros,femenino,sí,clase baja,pequeño,primaria,posgrado,casado,2.1,con padres,conjunto,6,mixto,privado,0,menos de 1 km,nunca,transporte privado,moderado,moderado,ocasional,nunca,nunca,nunca,bastante a menudo,rara vez,bastante a menudo,algunas veces,bajo
adolescencia media,femenino,no,alta,grande,secundaria,preparatoria,soltero,1.2,albergue,conjunto,4,unisexo,privado,3,más de 5 km,nunca,a pie,moderado,moderado,ocasional,regular,nunca,regular,casi nunca,casi siempre,rara vez,bastante a menudo,bajo
otros,masculino,no,clase media-baja,mediano,primaria,primaria,separado,0.4,con padres,nuclear,6,mixto,privado,4,3–5 km,nunca,a pie,alto,leve,regular,regular,regular,ocasional,algunas veces,a veces,casi siempre,casi siempre,bajo
otros,femenino,sí,alta,mediano,primaria,sin educación,soltero,1.6,con padres,nuclear,2,unisexo,público,6,3–5 km,nunca,transporte público,moderado,mayor,nunca,ocasional,nunca,ocasional,bastante a menudo,casi nunca,bastante a menudo,casi siempre,bajo
adolescencia media,masculino,sí,clase media-alta,pequeño,primaria,primaria,casado,2.2,con padres,nuclear,6,unisexo,privado,2,menos de 1 km,nunca,transporte público,bajo,moderado,nunca,ocasional,regular,nunca,casi siempre,bastante a menudo,casi nunca,rara vez,bajo
adolescencia tardía,femenino,no,clase baja,mediano,sin educación,licenciatura,separado,1.8,albergue,nuclear,5,unisexo,privado,2,más de 5 km,una vez a la semana,transporte privado,alto,muy poco estrés,ocasional,regular,nunca,ocasional,bastante a menudo,casi nunca,rara vez,casi nunca,bajo
adolescencia tardía,masculino,sí,alta,mediano,sin educación,preparatoria,divorciado,3.7,albergue,nuclear,5,unisexo,privado,1,más de 5 km,nunca,a pie,bajo,mayor,ocasional,regular,regular,regular,casi siempre,casi siempre,casi nunca,bastante a menudo,bajo
otros,femenino,sí,clase baja,grande,posgrado,sin educación,divorciado,2.1,con familiares,conjunto,6,unisexo,público,4,3–5 km,dos veces a la semana,transporte público,bajo,mayor,ocasional,ocasional,nunca,regular,casi siempre,bastante a menudo,bastante a menudo,casi siempre,bajo
adolescencia temprana,masculino,no,alta,pequeño,licenciatura,secundaria,divorciado,3.1,albergue,conjunto,2,mixto,privado,2,más de 5 km,casi todos los días,a pie,bajo,muy poco estrés,ocasional,nunca,regular,nunca,rara vez,casi nunca,casi nunca,casi siempre,bajo
otros,femenino,no,clase media-alta,grande,licenciatura,secundaria,soltero,2.1,albergue,nuclear,6,unisexo,público,2,menos de 1 km,casi todos los días,transporte privado,alto,leve,ocasional,ocasional,regular,regular,algunas veces,rara vez,casi siempre,casi siempre,bajo
adolescencia media,masculino,sí,clase baja,grande,preparatoria,sin educación,viudo,1.9,con padres,nuclear,4,mixto,privado,2,1–3 km,una vez a la semana,a pie,moderado,muy poco estrés,regular,ocasional,nunca,nunca,casi siempre,bastante a menudo,algunas veces,bastante a menudo,bajo
adolescencia tardía,femenino,no,alta,grande,preparatoria,preparatoria,divorciado,3.0,con padres,nuclear,2,unisexo,privado,4,1–3 km,casi todos los días,transporte privado,bajo,leve,nunca,ocasional,regular,regular,casi siempre,rara vez,casi siempre,bastante a menudo,bajo
otros,femenino,sí,clase baja,pequeño,sin educación,preparatoria,separado,2.6,con padres,nuclear,2,mixto,privado,2,más de 5 km,una vez a la semana,transporte privado,alto,leve,ocasional,nunca,regular,regular,casi siempre,a veces,rara vez,bastante a menudo,moderado
adolescencia temprana,femenino,sí,clase media-baja,mediano,secundaria,posgrado,soltero,2.4,con padres,conjunto,2,unisexo,privado,2,más de 5 km,casi todos los días,transporte público,alto,grave,ocasional,nunca,ocasional,ocasional,rara vez,a veces,casi nunca,algunas veces,bajo
adolescencia temprana,femenino,sí,clase media-alta,mediano,preparatoria,sin educación,separado,1.1,albergue,nuclear,1,unisexo,privado,1,3–5 km,una vez a la semana,a pie,moderado,moderado,ocasional,nunca,nunca,ocasional,casi siempre,a veces,casi siempre,rara vez,bajo
adolescencia media,masculino,sí,alta,mediano,sin educación,posgrado,casado,1.4,con padres,conjunto,1,mixto,privado,4,menos de 1 km,una vez a la semana,transporte privado,moderado,mayor,nunca,regular,nunca,ocasional,bastante a menudo,casi siempre,casi nunca,casi nunca,bajo
adolescencia temprana,masculino,sí,clase baja,pequeño,licenciatura,sin educación,separado,1.2,con familiares,conjunto,1,mixto,privado,4,menos de 1 km,una vez a la semana,transporte público,bajo,moderado,regular,ocasional,ocasional,nunca,algunas veces,a veces,bastante a menudo,algunas veces,bajo
otros,femenino,no,clase media-alta,grande,sin educación,primaria,divorciado,4.7,con padres,nuclear,1,mixto,privado,3,3–5 km,una vez a la semana,transporte privado,alto,muy poco estrés,ocasional,ocasional,regular,regular,rara vez,bastante a menudo,rara vez,casi siempre,alto
adolescencia temprana,masculino,sí,clase baja,grande,primaria,secundaria,separado,1.0,albergue,nuclear,1,unisexo,público,1,3–5 km,una vez a la semana,transporte público,moderado,grave,regular,regular,regular,regular,bastante a menudo,rara vez,casi siempre,casi nunca,bajo
otros,femenino,no,clase media-alta,grande,sin educación,secundaria,divorciado,3.6,con padres,conjunto,1,mixto,público,1,1–3 km,casi todos los días,transporte público,moderado,moderado,ocasional,nunca,regular,ocasional,casi siempre,rara vez,casi siempre,rara vez,moderado
adolescencia temprana,masculino,sí,clase media-alta,grande,posgrado,secundaria,viudo,3.2,con familiares,conjunto,5,unisexo,público,0,más de 5 km,casi todos los días,a pie,alto,mayor,ocasional,ocasional,ocasional,ocasional,casi siempre,a veces,casi nunca,rara vez,moderado
adolescencia temprana,femenino,no,alta,mediano,preparatoria,posgrado,casado,0.6,con familiares,conjunto,2,mixto,público,4,más de 5 km,una vez a la semana,a pie,moderado,leve,ocasional,ocasional,ocasional,regular,casi nunca,casi nunca,rara vez,algunas veces,bajo
adolescencia temprana,femenino,no,clase media-alta,mediano,primaria,sin educación,viudo,2.4,albergue,nuclear,3,mixto,público,2,más de 5 km,nunca,a pie,bajo,muy poco estrés,nunca,regular,nunca,regular,casi nunca,casi nunca,casi nunca,rara vez,bajo
adolescencia temprana,femenino,sí,clase baja,mediano,secundaria,secundaria,separado,1.5,con familiares,nuclear,6,unisexo,privado,3,más de 5 km,una vez a la semana,a pie,alto,leve,nunca,nunca,regular,ocasional,casi siempre,rara vez,algunas veces,rara vez,bajo
adolescencia tardía,masculino,sí,clase media-alta,grande,licenciatura,sin educación,soltero,2.1,con padres,nuclear,2,unisexo,privado,1,más de 5 km,casi todos los días,a pie,moderado,grave,regular,nunca,nunca,ocasional,casi nunca,casi nunca,casi siempre,bastante a menudo,bajo
adolescencia media,femenino,no,clase media-baja,grande,licenciatura,secundaria,separado,2.8,con padres,conjunto,4,mixto,público,4,menos de 1 km,casi todos los días,transporte privado,moderado,mayor,regular,regular,ocasional,regular,casi siempre,rara vez,casi nunca,bastante a menudo,moderado
